Iteration,Stimulus Intensity,Stimulus Valence,Emotional State,Action,Emotional Stability,Time
0,0.6008955261627361,-0.9334024127983376,[0.    1.    0.968 1.    0.108 0.92 ],3,0.5721790790557861,0.0000
1,0.6008955261627361,-0.9334024127983376,[0.    1.    0.968 1.    0.108 0.92 ],3,0.5721790790557861,0.0000
2,0.6008955261627361,-0.9334024127983376,[0.    1.    0.968 1.    0.108 0.92 ],3,0.5721790790557861,0.0000
3,0.6008955261627361,-0.9334024127983376,[0.    1.    0.968 1.    0.108 0.92 ],3,0.5721790790557861,0.0000
4,0.6008955261627361,-0.9334024127983376,[0.    1.    0.968 1.    0.108 0.92 ],3,0.5721790790557861,0.0000
5,0.6008955261627361,-0.9334024127983376,[0.    1.    0.968 1.    0.108 0.92 ],3,0.5721790790557861,0.0000
6,0.6008955261627361,-0.9334024127983376,[0.    1.    0.968 1.    0.108 0.92 ],3,0.5721790790557861,0.0000
7,0.6008955261627361,-0.9334024127983376,[0.    1.    0.968 1.    0.108 0.92 ],3,0.5721790790557861,0.0000
8,0.6008955261627361,-0.9334024127983376,[0.    1.    0.968 1.    0.108 0.92 ],3,0.5721790790557861,0.0000
9,0.6008955261627361,-0.9334024127983376,[0.    1.    0.968 1.    0.108 0.92 ],3,0.5721790790557861,0.0000
10,0.6008955261627361,-0.9334024127983376,[0.    1.    0.968 1.    0.108 0.92 ],3,0.5721790790557861,0.0000
11,0.6008955261627361,-0.9334024127983376,[0.    1.    0.968 1.    0.108 0.92 ],3,0.5721790790557861,0.0000
12,0.6008955261627361,-0.9334024127983376,[0.    1.    0.968 1.    0.108 0.92 ],3,0.5721790790557861,0.0000
13,0.6008955261627361,-0.9334024127983376,[0.    1.    0.968 1.    0.108 0.92 ],3,0.5721790790557861,0.0000
14,0.6008955261627361,-0.9334024127983376,[0.    1.    0.968 1.    0.108 0.92 ],3,0.5721790790557861,0.0000
15,0.6008955261627361,-0.9334024127983376,[0.    1.    0.968 1.    0.108 0.92 ],3,0.5721790790557861,0.0000
16,0.6008955261627361,-0.9334024127983376,[0.    1.    0.968 1.    0.108 0.92 ],3,0.5721790790557861,0.0000
17,0.6008955261627361,-0.9334024127983376,[0.    1.    0.968 1.    0.108 0.92 ],3,0.5721790790557861,0.0000
18,0.6008955261627361,-0.9334024127983376,[0.    1.    0.968 1.    0.108 0.92 ],3,0.5721790790557861,0.0000
19,0.6008955261627361,-0.9334024127983376,[0.    1.    0.968 1.    0.108 0.92 ],3,0.5721790790557861,0.0000
20,0.6008955261627361,-0.9334024127983376,[0.    1.    0.968 1.    0.108 0.92 ],3,0.5721790790557861,0.0000
21,0.6008955261627361,-0.9334024127983376,[0.    1.    0.968 1.    0.108 0.92 ],3,0.5721790790557861,0.0000
22,0.6008955261627361,-0.9334024127983376,[0.    1.    0.968 1.    0.108 0.92 ],3,0.5721790790557861,0.0000
23,0.6008955261627361,-0.9334024127983376,[0.    1.    0.968 1.    0.108 0.92 ],3,0.5721790790557861,0.0000
24,0.6008955261627361,-0.9334024127983376,[0.    1.    0.968 1.    0.108 0.92 ],3,0.5721790790557861,0.0000
