Iteration,Stimulus Intensity,Stimulus Valence,Joy,Sadness,Anger,Fear,Surprise,Disgust,Action,Emotional Stability,Time
Action description:  0 - Выразить  радость,  1 - Проявить  грусть,  2 - Проявить  гнев, 3 - Избегать  опасности,  4 - Взаимодействовать  с  объектом,  5 - Не  выражать  эмоций
0,0.9879,-0.1144,[0.         1.         0.96793238 1.         0.1084395  0.91983096],3,0.5000,0.0450
1,0.2830,-0.7748,[0.         1.         0.63942293 1.         0.108      0.92      ],5,0.5000,0.0493
2,0.7640,-0.7811,[0.    1.    0.968 1.    0.108 0.92 ],3,0.5000,0.0477
3,0.4385,0.3670,[0.5485894 0.        0.        0.        0.6171769 0.       ],3,0.5000,0.0503
4,0.0153,0.5143,[0.15248581 0.0082295  0.00907994 0.         0.17193091 0.        ],4,0.5449,0.7527
5,0.7095,-0.7569,[0.    1.    0.968 1.    0.108 0.92 ],3,0.4884,0.3029
6,0.6425,0.9594,[0.73152232 0.         0.         0.         0.71050234 0.        ],3,0.5647,0.2287
7,0.2372,0.9559,[0.25828787 0.         0.         0.         0.2707326  0.        ],4,0.5879,0.2111
8,0.5815,-0.4057,[0.    1.    0.968 1.    0.108 0.92 ],3,0.5182,0.2136
9,0.5946,0.8480,[0.67158005 0.         0.         0.         0.62421078 0.        ],3,0.5704,0.1789
10,0.0053,-0.3418,[0.         0.78773282 0.51573655 1.         0.04079352 0.94584865],3,0.5576,0.1659
11,0.8682,0.9399,[0.99889176 0.         0.         0.         1.         0.        ],4,0.5580,0.1806
12,0.3887,0.5109,[0.49504848 0.         0.         0.         0.45368411 0.        ],3,0.5472,0.1697
13,0.2342,-0.7715,[0.         0.9544117  0.53590099 1.         0.08306338 0.92959101],5,0.5325,0.1793
14,0.8196,0.2110,[0.97017694 0.         0.         0.         1.         0.        ],0,0.5607,0.1711
15,0.6382,0.4610,[0.73333895 0.         0.         0.         0.7417193  0.        ],3,0.5539,0.1730
16,0.4015,-0.4244,[0.         1.         0.91403166 1.         0.108      0.92      ],5,0.5242,0.1879
17,0.1158,-0.0305,[0.         0.88619741 0.53272611 1.         0.06599013 0.93615764],0,0.5595,0.1666
18,0.1525,-0.0022,[0.         0.89189275 0.53428794 1.         0.06732236 0.93564525],5,0.5814,0.1670
19,0.9771,-0.8872,[0.    1.    0.968 1.    0.108 0.92 ],3,0.5286,0.1667
20,0.4326,-0.0338,[0.         1.         0.81381929 1.         0.108      0.92      ],2,0.4783,0.1842
21,0.2804,-0.5913,[0.         1.         0.63173437 1.         0.108      0.92      ],5,0.4705,0.1814
22,0.1531,-0.7888,[0.         0.73250722 0.49868727 1.         0.02947416 0.95020225],3,0.4958,0.1658
23,0.8672,0.8151,[0.99876421 0.         0.         0.         1.         0.        ],3,0.5268,0.1969
24,0.8316,0.6206,[0.99042324 0.         0.         0.         1.         0.        ],2,0.5082,0.1765
