Iteration,Stimulus Intensity,Stimulus Valence,Joy,Sadness,Anger,Fear,Surprise,Disgust,Action,Emotional Stability,Time
Action description:  0 - Выразить  радость,  1 - Проявить  грусть,  2 - Проявить  гнев,  3 - Избегать  опасности,  4 - Взаимодействовать  с  объектом,  5 - Не  выражать  эмоций
0,0.8339,-0.2992,[0.    1.    0.968 1.    0.108 0.92 ],0,0.5000,0.0395
1,0.7755,-0.8151,[0.    1.    0.968 1.    0.108 0.92 ],1,0.5000,0.0607
2,0.2792,0.6927,[0.33582658 0.         0.         0.         0.34632048 0.        ],2,0.5000,0.0511
3,0.4206,0.7309,[0.522963   0.         0.         0.         0.45642341 0.        ],3,0.5000,0.0499
4,0.1321,-0.0162,[0.         0.88921321 0.53351366 1.         0.06670531 0.93588257],4,0.5675,0.8007
5,0.6856,0.4005,[0.82129131 0.         0.         0.         0.89595797 0.        ],5,0.5862,0.1926
6,0.0555,0.0185,[0.17501404 0.03480024 0.0301144  0.0085672  0.24535489 0.0171344 ],0,0.5805,0.1853
7,0.7313,-0.5773,[0.    1.    0.968 1.    0.108 0.92 ],1,0.5204,0.2092
8,0.2965,0.6434,[0.36292318 0.         0.         0.         0.37178481 0.        ],2,0.5672,0.1994
9,0.8820,0.6109,[0.98962729 0.         0.         0.         1.         0.        ],3,0.5775,0.1953
10,0.0483,0.5063,[0.15301997 0.00831516 0.00915942 0.         0.17258543 0.        ],4,0.5842,0.1900
11,0.1756,-0.7323,[0.         0.74214169 0.5004794  1.         0.03181626 0.94930144],2,0.5556,0.1865
12,0.2340,-0.6108,[0.         0.95343201 0.53573896 1.         0.08282665 0.92968206],5,0.5281,0.1869
13,0.2296,0.9639,[0.24075445 0.         0.         0.         0.25293904 0.        ],0,0.5626,0.1875
14,0.1276,0.8893,[0.13888701 0.00695218 0.00781431 0.         0.15609836 0.        ],1,0.5754,0.2060
15,0.6831,-0.2763,[0.    1.    0.968 1.    0.108 0.92 ],3,0.5184,0.1878
16,0.9809,0.1881,[0.96873921 0.         0.         0.         1.         0.        ],3,0.5747,0.1845
17,0.7373,0.2363,[0.85406952 0.         0.         0.         1.         0.        ],3,0.5741,0.1756
18,0.3677,0.9145,[0.47774159 0.         0.         0.         0.44745051 0.        ],3,0.5836,0.1758
19,0.3844,-0.2349,[0.         1.         0.79618532 1.         0.108      0.92      ],3,0.5361,0.1732
20,0.1736,0.7949,[0.14380653 0.00725356 0.00813734 0.         0.1616782  0.        ],3,0.5772,0.2040
21,0.9956,-0.0344,[0.         1.         0.95853734 1.         0.16950727 0.89634336],3,0.5019,0.1904
22,0.0038,-0.7863,[0.         0.71445022 0.49338028 1.         0.02588687 0.94638608],3,0.4960,0.1915
23,0.0429,0.9165,[0.13282737 0.00676764 0.00757302 0.         0.149397   0.        ],3,0.5811,0.1726
24,0.4678,-0.1260,[0.         1.         0.87293295 1.         0.108      0.92      ],3,0.5193,0.1874
